Watershed,Year,Folder,Picname,cal
Kuskokwim,2019,Kusko,2019_kk_002.jpg,200
Kuskokwim,2019,Kusko,2019_kk_003.jpg,200
Kuskokwim,2019,Kusko,2019_kk_004.jpg,200
Kuskokwim,2019,Kusko,2019_kk_005.jpg,200
Kuskokwim,2019,Kusko,2019_kk_008.jpg,200
Kuskokwim,2019,Kusko,2019_kk_010.jpg,200
Kuskokwim,2019,Kusko,2019_kk_011.jpg,200
Kuskokwim,2019,Kusko,2019_kk_013.jpg,200
Kuskokwim,2019,Kusko,2019_kk_014.jpg,200
Kuskokwim,2019,Kusko,2019_kk_015.jpg,200
Kuskokwim,2019,Kusko,2019_kk_019.jpg,200
Kuskokwim,2019,Kusko,2019_kk_021.jpg,200
Kuskokwim,2019,Kusko,2019_kk_022.jpg,200
Kuskokwim,2019,Kusko,2019_kk_027.jpg,200
Kuskokwim,2019,Kusko,2019_kk_028.jpg,200
Kuskokwim,2019,Kusko,2019_kk_031.jpg,200
Kuskokwim,2019,Kusko,2019_kk_032.jpg,200
Kuskokwim,2019,Kusko,2019_kk_033.jpg,200
Kuskokwim,2019,Kusko,2019_kk_037.jpg,200
Kuskokwim,2019,Kusko,2019_kk_038.jpg,200
Kuskokwim,2019,Kusko,2019_kk_039.jpg,200
Kuskokwim,2019,Kusko,2019_kk_041.jpg,200
Kuskokwim,2019,Kusko,2019_kk_043.jpg,200
Kuskokwim,2019,Kusko,2019_kk_045.jpg,200
Kuskokwim,2019,Kusko,2019_kk_046.jpg,200
Kuskokwim,2019,Kusko,2019_kk_047.jpg,200
Kuskokwim,2019,Kusko,2019_kk_048.jpg,200
Kuskokwim,2019,Kusko,2019_kk_049.jpg,200
Kuskokwim,2019,Kusko,2019_kk_050.jpg,200
Kuskokwim,2019,Kusko,2019_kk_051.jpg,200
Kuskokwim,2019,Kusko,2019_kk_055.jpg,200
Kuskokwim,2019,Kusko,2019_kk_056.jpg,200
Kuskokwim,2019,Kusko,2019_kk_059.jpg,200
Kuskokwim,2019,Kusko,2019_kk_060.jpg,200
Kuskokwim,2019,Kusko,2019_kk_061.jpg,200
Kuskokwim,2019,Kusko,2019_kk_062.jpg,200
Kuskokwim,2019,Kusko,2019_kk_063.jpg,200
Kuskokwim,2019,Kusko,2019_kk_066.jpg,200
Kuskokwim,2019,Kusko,2019_kk_068.jpg,200
Kuskokwim,2019,Kusko,2019_kk_070.jpg,200
Kuskokwim,2019,Kusko,2019_kk_071.jpg,200
Kuskokwim,2019,Kusko,2019_kk_074.jpg,200
Kuskokwim,2019,Kusko,2019_kk_077.jpg,200
Kuskokwim,2019,Kusko,2019_kk_079.jpg,200
Kuskokwim,2019,Kusko,2019_kk_082.jpg,200
Kuskokwim,2019,Kusko,2019_kk_086.jpg,200
Kuskokwim,2019,Kusko,2019_kk_090.jpg,200
Kuskokwim,2019,Kusko,2019_kk_094.jpg,200
Kuskokwim,2019,Kusko,2019_kk_096.jpg,200
Kuskokwim,2019,Kusko,2019_kk_097.jpg,200
Kuskokwim,2019,Kusko,2019_kk_099.jpg,200
Kuskokwim,2019,Kusko,2019_kk_107.jpg,200
Kuskokwim,2019,Kusko,2019_kk_109.jpg,200
Kuskokwim,2019,Kusko,2019_kk_115.jpg,200
Kuskokwim,2019,Kusko,2019_kk_116.jpg,200
Kuskokwim,2019,Kusko,2019_kk_117.jpg,200
Kuskokwim,2019,Kusko,2019_kk_123.jpg,200
Kuskokwim,2019,Kusko,2019_kk_124.jpg,200
Kuskokwim,2019,Kusko,2019_kk_127.jpg,200
Kuskokwim,2019,Kusko,2019_kk_130.jpg,200
Kuskokwim,2019,Kusko,2019_kk_131.jpg,200
Kuskokwim,2019,Kusko,2019_kk_136.jpg,200
Kuskokwim,2019,Kusko,2019_kk_143.jpg,200
Kuskokwim,2019,Kusko,2019_kk_147.jpg,200
Kuskokwim,2019,Kusko,2019_kk_151.jpg,200
Kuskokwim,2019,Kusko,2019_kk_155.jpg,200
Kuskokwim,2019,Kusko,2019_kk_158.jpg,200
Kuskokwim,2019,Kusko,2019_kk_161.jpg,200
Kuskokwim,2019,Kusko,2019_kk_162.jpg,200
Kuskokwim,2019,Kusko,2019_kk_163.jpg,200
Kuskokwim,2019,Kusko,2019_kk_166.jpg,200
Kuskokwim,2019,Kusko,2019_kk_176.jpg,200
Kuskokwim,2019,Kusko,2019_kk_178.jpg,200
